provider,city,car type,Night_start_time,night base fare,night base km,fare per km,Night waiting Charge,day base fare,day base km,fare per km,Day waiting charge,Night_end_time,Minimum bill,Cancellation Charge,ride charge,ride charge after,night ride charge,nide ride charge after
TaxiForSure,Mumbai,suv,0,125,3,26,0,99,3,21,0,5,0,0,1,0,1,0
TaxiForSure,Mysore,hatchback,0,99,4,15,0,49,4,14,0,6,0,0,1,0,1,0
TaxiForSure,Mysore,sedan,0,99,4,17,0,49,4,16,0,6,0,0,1,0,1,0
TaxiForSure,Mysore,suv,0,90,4,18,0,90,4,18,0,6,0,0,1,0,1,0
TaxiForSure,Nagpur,hatchback,0,74,4,18,0,49,4,14,0,6,0,0,1,0,1,0
TaxiForSure,Nagpur,sedan,0,74,4,20,0,49,4,16,0,6,0,0,1,0,1,0
TaxiForSure,Nashik,hatchback,0,74,4,16,0,49,4,12,0,6,0,0,1,0,1,0
TaxiForSure,Nashik,sedan,0,74,4,18,0,49,4,14,0,6,0,0,1,0,1,0
TaxiForSure,Patna,hatchback,0,74,4,14,0,49,4,12,0,6,0,0,1,0,1,0
TaxiForSure,Patna,sedan,0,74,4,16,0,49,4,14,0,6,0,0,1,0,1,0
TaxiForSure,Pune,eeco,0,74,4,16,0,49,4,13,0,5,0,0,1,0,1,0
TaxiForSure,Pune,hatchback,0,74,4,18,0,49,4,14,0,5,0,0,1,0,1,0
TaxiForSure,Pune,sedan,0,74,4,20,0,49,4,16,0,5,0,0,1,0,1,0
TaxiForSure,Raipur,hatchback,0,99,4,14,0,49,4,12,0,6,0,0,1,0,1,0
TaxiForSure,Raipur,sedan,0,99,4,16,0,49,4,14,0,6,0,0,1,0,1,0
TaxiForSure,Rajkot,hatchback,0,69,4,15,0,49,4,12,0,5,0,0,1,0,1,0
TaxiForSure,Rajkot,sedan,0,69,4,18,0,49,4,14,0,5,0,0,1,0,1,0
TaxiForSure,Ranchi,hatchback,0,99,4,14,0,49,4,12,0,6,0,0,1,0,1,0
TaxiForSure,Ranchi,sedan,0,99,4,16,0,49,4,14,0,6,0,0,1,0,1,0
TaxiForSure,Shimla,hatchback,0,99,2,18,0,49,2,18,0,5,0,0,1,0,1,0
TaxiForSure,Shimla,sedan,0,99,2,20,0,49,2,20,0,5,0,0,1,0,1,0
TaxiForSure,Solapur,hatchback,0,74,4,14,0,49,4,12,0,6,0,0,1,0,1,0
TaxiForSure,Solapur,sedan,0,74,4,16,0,49,4,14,0,6,0,0,1,0,1,0
TaxiForSure,Surat,hatchback,0,74,4,15,0,49,4,12,0,5,0,0,1,0,1,0
TaxiForSure,Surat,sedan,0,74,4,17,0,49,4,14,0,5,0,0,1,0,1,0
TaxiForSure,Tiruchirappalli,hatchback,0,69,4,18,0,49,4,14,0,6,0,0,1,0,1,0
TaxiForSure,Tiruchirappalli,sedan,0,69,4,20,0,49,4,16,0,6,0,0,1,0,1,0
TaxiForSure,Tiruchirappalli,suv,0,190,5,22.5,0,150,5,18,0,6,0,0,1,0,1,0
TaxiForSure,Trivandrum,hatchback,0,49,4,12,0,49,4,12,0,6,0,0,1,0,1,0
TaxiForSure,Trivandrum,sedan,0,49,4,14,0,49,4,14,0,6,0,0,1,0,1,0
TaxiForSure,Udaipur,hatchback,0,49,4,14,0,49,4,12,0,6,0,0,1,0,1,0
TaxiForSure,Udaipur,sedan,0,49,4,16,0,49,4,14,0,6,0,0,1,0,1,0
TaxiForSure,Ujjain,hatchback,0,74,4,14,0,49,4,12,0,6,0,0,1,0,1,0
TaxiForSure,Ujjain,sedan,0,74,4,16,0,49,4,14,0,6,0,0,1,0,1,0
TaxiForSure,Varanasi,hatchback,0,74,4,12,0,49,4,12,0,6,0,0,1,0,1,0
TaxiForSure,Varanasi,sedan,0,74,4,14,0,49,4,14,0,6,0,0,1,0,1,0
TaxiForSure,Vijayawada,hatchback,0,99,4,15,0,49,4,12,0,6,0,0,1,0,1,0
TaxiForSure,Vijayawada,sedan,0,99,4,17,0,49,4,14,0,6,0,0,1,0,1,0
